Round,Date,HomeTeam,AwayTeam,FTHG,FTAG,EGHT,EGAT,BPHT,BPAT,GAHT,GAAT,SoGHT,SoGAT,FKHT,FKAT,CKHT,CKAT,OHT,OAT,THT,TAT,GSHT,GSAT,FHT,FAT,RCHT,RCAT,YCHT,YCAT,TPHT,TPAT,AHT,AAT,DAHT,DAAT,CCHT,CCAT
ROUND 26,16.03.2024,Union Berlin,Werder Bremen,2,1,1.25,1.02,48,52,11,10,5,8,10,11,4,3,0,0,18,12,1,4,16,16,0,0,3,5,414,439,114,98,48,29,0,0
ROUND 26,16.03.2024,Wolfsburg,Augsburg,1,3,1.52,1.19,51,49,15,14,11,9,23,13,8,6,1,5,11,17,2,3,12,19,1,0,1,3,394,392,84,84,80,45,0,0
ROUND 26,15.03.2024,FC Koln,RB Leipzig,1,5,1.68,4.27,38,62,9,23,7,16,14,12,3,6,1,1,16,15,2,1,11,12,0,0,2,2,287,599,72,139,28,60,0,0
ROUND 25,10.03.2024,Bayer Leverkusen,Wolfsburg,2,0,2.26,0.12,70,30,19,2,12,1,7,6,9,2,0,0,18,12,1,5,6,7,0,1,1,3,889,275,171,39,130,15,0,0
ROUND 25,10.03.2024,Eintracht Frankfurt,Hoffenheim,3,1,3.58,0.67,62,38,17,6,10,4,12,15,5,1,2,3,19,16,1,4,11,10,0,2,2,3,631,346,124,89,68,28,0,0
ROUND 25,10.03.2024,Bochum,Freiburg,1,2,1.19,1.44,55,45,18,9,12,4,15,13,12,5,2,3,31,14,3,5,11,11,0,0,3,7,421,282,146,82,78,28,0,0
ROUND 25,09.03.2024,Werder Bremen,Dortmund,1,2,1.31,0.98,46,54,15,13,10,7,10,8,10,4,2,2,14,11,4,4,6,8,0,1,1,2,468,603,124,115,55,33,0,0
ROUND 25,09.03.2024,Augsburg,Heidenheim,1,0,0.74,0.36,59,41,8,6,4,5,21,15,5,2,1,1,27,17,1,3,14,20,0,0,1,3,412,278,151,81,84,25,0,0
ROUND 25,09.03.2024,B. Monchengladbach,FC Koln,3,3,2.00,1.09,58,42,16,12,11,7,13,19,8,3,3,1,15,21,2,2,15,15,0,0,3,4,507,350,104,84,47,42,0,0
ROUND 25,09.03.2024,Bayern Munich,Mainz,8,1,6.59,0.95,59,41,25,13,13,10,8,10,6,7,2,1,15,11,2,4,8,7,0,0,1,1,581,401,93,95,39,49,0,0
ROUND 25,09.03.2024,RB Leipzig,Darmstadt,2,0,3.57,0.67,61,39,28,9,20,5,14,3,8,4,0,1,19,16,4,6,3,14,0,0,0,3,621,311,144,60,66,25,0,0
ROUND 25,08.03.2024,Stuttgart,Union Berlin,2,0,1.03,1.04,66,34,14,10,9,6,16,9,4,3,2,3,15,13,4,3,7,14,0,1,1,2,838,351,160,72,44,35,0,0
ROUND 24,03.03.2024,Hoffenheim,Werder Bremen,2,1,2.09,1.74,48,52,14,18,7,10,14,13,3,3,2,3,9,11,7,5,11,10,1,0,5,1,414,463,111,106,39,41,0,0
ROUND 24,03.03.2024,FC Koln,Bayer Leverkusen,0,2,0.54,1.65,28,72,6,17,6,11,9,10,1,9,2,1,12,17,4,0,10,9,1,0,2,2,235,837,40,156,16,93,0,0
ROUND 24,02.03.2024,Wolfsburg,Stuttgart,2,3,1.13,0.98,42,58,12,7,10,4,14,17,5,4,0,2,18,11,0,0,20,12,0,0,3,2,385,566,116,93,42,38,0,0
